Random Entry Test:,,,,,,
# of words,100,1000,5000,10000,18000,All (27551)
BST avg steps,1285,17873,100184,206967,379112,585241
AVL avg steps,1478,19701,114725,241973,455924,721582
CHT avg steps,1387,12411,54486,105623,190994,310461
HTM avg steps,3093,30387,146510,291105,524068,802731
,,,,,,
Somewhat Random Entry Test:,,,,,,
# of words,100,1000,5000,10000,18000,All (27551)
BST avg steps,1692,21012,110888,224520,409153,629295
AVL avg steps,1512,19751,113821,241748,455823,724061
CHT avg steps,1385,12118,53174,103349,187442,305331
HTM avg steps,3040,30344,146054,290930,524064,802500
,,,,,,
Sequential Entry Test:,,,,,,
# of words,100,1000,5000,10000,18000,All (27551)
BST steps,6892,373472,5315128,15204107,38251280,73470612
AVL steps,1811,20881,110399,227148,413224,654046
CHT steps,1311,11070,49221,96521,176401,289678
HTM steps,2809,29238,143261,287554,519631,797661
